2019-04-AC-HMGQZX-30,144,3551,芭,bā,[名],1,一種香草。,《楚辭．屈原．九歌．禮魂》：「成禮兮會鼓，傳芭兮代舞。」,,,
2019-04-AC-HMGQZX-38,16,5377,笆,bā,[名],2,用竹枝或竹片編成的片狀物。俗稱為「竹籬笆」。,唐．白居易〈秦中吟．買花〉：「上張幄幕庇，旁織笆籬護。」,,,
2019-04-AC-HMGQZX-42,1668,1244,拔,bá,[動],1,拉出、抽出。如：「拔草」、「拔旗」、「拔劍」。,《孟子．盡心上》：「楊子取為我，拔一毛而利天下不為也。」,,,
2019-04-AC-HMGQZX-45,1668,1244,拔,bá,[動],4,選出。如：「提拔」、「選拔」。,《漢書．卷七五．李尋傳》：「閉絕私路，拔進英雋。」,,,
2019-04-AC-HMGQZX-46,1668,1244,拔,bá,[動],5,特出。,《孟子．公孫丑上》：「出於其類，拔乎其萃。」,,,
2019-04-AC-HMGQZX-49,1668,1244,拔,bá,[動],8,攻取、占領。如：「連拔五城」。,《孫子．謀攻》：「殺士三分之一，而城不拔者，此攻之災也。」,,,
2019-04-AC-HMGQZX-51,1668,1244,拔,bá,[名],0,括，箭的尾端。,《詩經．秦風．駟驖》：「公曰：『左之。』舍拔則獲。」,,,
2019-04-AC-HMGQZX-52,1668,1244,拔,bá,[副],0,急速。,《禮記．少禮》：「毋拔來，毋報往。」,,,
2019-04-AC-HMGQZX-53,5,5889,茇,(一)bá,[名],0,草根。,《淮南子．墬形》：「凡根茇草者，生於庶草。」,,,
2019-04-AC-HMGQZX-54,5,5889,茇,(一)bá,[動],0,在草叢中休息住宿。,《詩經．召南．甘棠》：「蔽芾甘棠，勿翦勿伐，召伯所茇。」,,,
2019-04-AC-HMGQZX-55,169,3378,跋,bá,[動],1,陸地行走稱為「跋」。如：「跋山涉水」。,《詩經．鄘風．載馳》：「大夫跋涉，我心則憂。」,,,
2019-04-AC-HMGQZX-57,169,3378,跋,bá,[動],3,迴轉。,《資治通鑑．卷一九一．唐紀七．高祖武德九年》：「（建成、元吉）覺變，即跋馬東歸宮府。」,唐．李商隱〈偶成轉韻七十二句贈四同舍〉詩：「韓公堆上跋馬時，迴望秦川樹如薺。」,,
2019-04-AC-HMGQZX-61,8297,336,把,(一)bǎ,[動],1,握住、拿著。,唐．孟浩然〈過故人莊〉詩：「開筵面場圃，把酒話桑麻。」,,,
2019-04-AC-HMGQZX-75,36,4896,靶,bǎ,[名],1,皮製的馬韁。,《漢書．卷六四下．王襃傳》：「王良執靶，韓哀附輿。」,,,
2019-04-AC-HMGQZX-77,36,4896,靶,bǎ,[名],3,柄。同「把」。,《北齊書．卷三三．徐之才傳》：「又有以骨為刀子靶者，五色班斕。」,,,
2019-04-AC-HMGQZX-81,5518,508,伯,(三)bà,[名],0,古稱諸侯的盟主。通「霸」。,《左傳．成公二年》：「樹德而濟同欲焉，五伯之霸也。」,,,
2019-04-AC-HMGQZX-82,5518,508,伯,(三)bà,[動],0,稱霸、統領。,《戰國策．秦策一》：「文王伐崇，武王伐紂，齊桓任戰而伯天下。」,,,
2019-04-AC-HMGQZX-86,1531,1320,霸,(一)bà,[動],1,把持、稱雄。如：「獨霸一方」。,《論語．憲問》：「管仲相桓公，霸諸侯，一匡天下。」,,,
2019-04-AC-HMGQZX-87,1531,1320,霸,(一)bà,[動],2,能力超越他人。,《史記．卷四七．孔子世家》：「孔子為政必霸。」,,,
2019-04-AC-HMGQZX-100,4101,660,波,(一)bō,[名],4,永字八法之一。,唐．張彥遠《法書要錄．卷一．王右軍題衛夫人筆陣圖後》：「每作一波，常三過折筆。」,,,
2019-04-AC-HMGQZX-104,4101,660,波,(一)bō,[動],2,逃。,齊．王琰《冥祥記》：「蘇峻之亂，都邑人士皆東西波遷。」,《樂府詩集．卷二五．企喻歌辭．橫吹曲辭五．四曲之一》：「鷂子經天飛，群雀兩向波。」,,
2019-04-AC-HMGQZX-105,4101,660,波,(一)bō,[助],0,元曲科白中常用作語助詞，置於句中或句末。同「吧」。,元．王實甫《西廂記．第三本．第一折》：「心波學士！我願為之，並不推辭，自有言語。」,,,
2019-04-AC-HMGQZX-118,901,1771,泊,(一)bó,[動],1,船隻靠岸。如：「泊舟」、「泊岸」、「停泊」。,唐．杜牧〈泊秦淮〉詩：「煙籠寒水月籠沙，夜泊秦淮近酒家。」,,,
2019-04-AC-HMGQZX-119,901,1771,泊,(一)bó,[動],2,棲止、停留。如：「漂泊」。,唐．陳子昂〈古意題徐令壁〉詩：「聞君太平世，棲泊靈臺側。」,,,
2019-04-AC-HMGQZX-121,901,1771,泊,(一)bó,[形],0,恬靜、淡默。如：「淡泊」。,《後漢書．卷五○下．蔡邕傳》：「明哲泊焉，不失所寧。」,,,
2019-04-AC-HMGQZX-126,906,1761,帛,bó,[名],1,絲織品的總稱。如：「帛書」、「絹帛」、「帛畫」。,《孟子．梁惠王上》：「五十者可以衣帛矣。」,,,
2019-04-AC-HMGQZX-130,33,4951,舶,bó,[名],0,大船。如：「船舶」。,魏．酈道元《水經注．江水注》：「昔孫權裝大船，名之曰『長安』，亦曰『大舶』，載坐直之士三千人。」,,,
2019-04-AC-HMGQZX-131,118,3758,箔,bó,[名],1,金屬打成的薄片。如：「錫箔」、「鋁箔包」。,《宋史．卷一○．仁宗本紀二》：「八月戊戌，禁以金箔飾佛像。」,,,
2019-04-AC-HMGQZX-133,118,3758,箔,bó,[名],3,用細竹或蘆草編成的養蠶器具。如：「蠶箔」。,《齊民要術．卷五．種桑柘》：「比至再眠，常須三箔；中箔上安蠶。」,李正封〈晚秋郾城夜會聯句〉：「暮鳥已安巢，春蠶看滿箔。」,,
2019-04-AC-HMGQZX-134,118,3758,箔,bó,[名],4,簾子。,唐．白居易〈長恨歌〉：「攬衣推枕起徘徊，珠箔銀屏迤邐開。」,,,
2019-04-AC-HMGQZX-138,337,2660,勃,bó,[形],2,變色。,《論語．鄉黨》：「君召使擯，色勃如也。」,,,
2019-04-AC-HMGQZX-139,337,2660,勃,bó,[名],0,衝擊產生的浪花。,魏．酈道元《水經注．江水注》：「灘頭白勃堅相持，倏忽沒淪別無期。」,,,
2019-04-AC-HMGQZX-141,286,2838,悖,(一)bó,[形],0,旺盛。通「勃」。,《左傳．莊公十一年》：「禹湯罪己，其興也悖焉。」,,,
2019-04-AC-HMGQZX-144,2514,950,博,bó,[形],2,比喻見識廣大。如：「淵博」。,《荀子．修身》：「多聞曰博；少聞曰淺。」,,,
2019-04-AC-HMGQZX-146,2514,950,博,bó,[動],1,賭錢。,《論語．陽貨》：「子曰：『飽食終日，無所用心，難矣哉！不有博弈者乎？為之猶賢乎已！』」,《史記．卷八六．刺客傳．荊軻傳》：「魯句踐與荊軻博。」,,
2019-04-AC-HMGQZX-148,267,2902,搏,bó,[動],1,雙方相撲打鬥。如：「搏鬥」。,《左傳．僖公二十八年》：「晉侯夢與楚子搏。」,,,
2019-04-AC-HMGQZX-150,267,2902,搏,bó,[動],3,拍擊。,唐．李渤〈辨石鐘山記〉：「微風鼓浪，水石相搏，聲如洪鐘。」,,,
2019-04-AC-HMGQZX-151,267,2902,搏,bó,[動],4,攫取、拾取。,《史記．卷八七．李斯傳》：「鑠金百溢，盜跖不搏。」,,,
2019-04-AC-HMGQZX-155,123,3717,膊,bó,[名],3,晒乾的肉。通「脯」。,《淮南子．繆稱》：「故同味而嗜厚膊者，必其甘之者也。」,,,
2019-04-AC-HMGQZX-156,123,3717,膊,bó,[動],0,分裂屍體。,《左傳．成公二年》：「弗聽，殺而膊諸城上。」,,,
2019-04-AC-HMGQZX-158,3191,803,薄,(一)（讀音）bó,[形],2,稀疏的。,梁．何遜〈入塞示南府同僚詩〉：「薄雲巖際出，初月波中上。」,,,
